God Bless You, Mr. Rosewater::Vonnegut, Kurt::literature::english::usa
Bluebeard::Vonnegut, Kurt::literature::english::usa
Deadeye Dick::Vonnegut, Kurt::literature::english::usa
Slapstick, or Lonesome No More!::Vonnegut, Kurt
Cat's Cradle::Vonnegut, Kurt::literature::english::usa
Slaughterhouse-Five::Vonnegut, Kurt::literature::english::usa
The Adventures of Huckleberry Finn::Twain, Mark::literature::english::usa
Why I Am Not a Christian::Russell, Bertrand::philosophy::english::england
A Confederacy of Dunces::Toole, John Kennedy::literature::english::usa
The Catcher in the Rye::Salinger, J.D.::literature::english::usa
Nine Stories::Salinger, J.D.::literature::english::usa
Ceremony::Silko, Leslie Marmon::literature::english::usa
The Oedipus Cycle::Sophocles::plays::greek::greece
Rosencrantz and Guildenstern Are Dead::Stoppard, Tom::plays::english::england
Existentialism and Human Emotions::Sartre, Jean-Paul::philosophy::french::france
No Exit and Three Other Plays::Sartre, Jean-Paul::plays::french::france
The Sovereignty and Goodness of God::Rowlandson, Mary::history::english::usa
Narrative of Sojourner Truth::Truth, Sojourner::history::english::usa
Tempest::Shakespeare, William::plays::english::england
The Magic Christian::Southern, Terry::literature::english::usa
Housekeeping::Robinson, Marilynne::literature::english::usa
Portnoy's Complaint::Roth, Philip::literature::english::usa
The Ghost Writer::Roth, Philip::literature::english::usa
Zuckerman Unbound::Roth, Philip::literature::english::usa
The Plough and the Stars::O'Casey, Seán::plays::english::ireland
Nineteen Eighty-Four::Orwell, George::literature::english::england
Facing Unpleasant Facts: Narrative Essays::Orwell, George::essays::english::england
Animal Farm::Orwell, George::literature::english::england
The Annotated Lolita::Nabokov, Vladimir::literature::english::usa
American Buffalo::Mamet, David::plays::english::usa
Glengarry Glen Ross::Mamet, David::plays::english::usa
The Iron Heel::London, Jack::literature::english::usa
The Spy Who Came In from the Cold::Carré, John le::literature::english::england
The Rain God: A Desert Tale::Islas, Arturo::literature::english::usa
Their Eyes Were Watching God::Hurston, Zora Neale::literature::english::usa
High Fidelity::Hornby, Nick::literature::english::england
M. Butterfly::Hwang, David Henry::plays::english::usa
The Great Gatsby::Fitzgerald, F. Scott::literature::english::usa
The Autobiography of Benjamin Franklin::Franklin, Benjamin::biography::english::usa
The 42nd Parallel::Passos, John Dos::literature::english::usa
The Sport of the Gods::Dunbar, Paul Laurence::literature::english::usa
The Man in the High Castle::Dick, Philip K.::sci fi::english::usa
In Cold Blood::Capote, Truman::true crime::english::usa
Breakfast at Tiffany's::Capote, Truman::literature::english::usa
The Stranger::Camus, Albert::literature::french::france
The Plague::Camus, Albert::literature::french::france
Falconer::Cheever, John::literature::english::usa
